(125, 538) (370, 848) (370, 538) (615, 848)
(1241, 544) (1486, 854) (1486, 544) (1731, 854)
(1241, 544) (1486, 854) (1486, 544) (1731, 854)
(1243, 544) (1488, 854) (1488, 544) (1733, 854)
(1228, 550) (1473, 860) (1473, 550) (1718, 860)
(1244, 543) (1489, 853) (1489, 543) (1734, 853)
(1244, 544) (1489, 854) (1489, 544) (1734, 854)
(1243, 543) (1488, 853) (1488, 543) (1733, 853)
(1245, 542) (1490, 852) (1490, 542) (1735, 852)
(1243, 542) (1488, 852) (1488, 542) (1733, 852)
(1243, 543) (1488, 853) (1488, 543) (1733, 853)
(1245, 543) (1490, 853) (1490, 543) (1735, 853)
(1245, 543) (1490, 853) (1490, 543) (1735, 853)
(1245, 543) (1490, 853) (1490, 543) (1735, 853)
(1245, 543) (1490, 853) (1490, 543) (1735, 853)
(1246, 543) (1491, 853) (1491, 543) (1736, 853)
(1247, 548) (1492, 858) (1492, 548) (1737, 858)
(1250, 548) (1495, 858) (1495, 548) (1740, 858)
(1249, 548) (1494, 858) (1494, 548) (1739, 858)
(1250, 547) (1495, 857) (1495, 547) (1740, 857)
(1250, 546) (1495, 856) (1495, 546) (1740, 856)
(1247, 547) (1492, 857) (1492, 547) (1737, 857)
(1249, 549) (1494, 859) (1494, 549) (1739, 859)
(1249, 548) (1494, 858) (1494, 548) (1739, 858)
(1249, 548) (1494, 858) (1494, 548) (1739, 858)
(1247, 546) (1492, 856) (1492, 546) (1737, 856)
(1250, 548) (1495, 858) (1495, 548) (1740, 858)
(1248, 547) (1493, 857) (1493, 547) (1738, 857)
(1249, 547) (1494, 857) (1494, 547) (1739, 857)
(1249, 548) (1494, 858) (1494, 548) (1739, 858)
(1249, 548) (1494, 858) (1494, 548) (1739, 858)
(1245, 546) (1490, 856) (1490, 546) (1735, 856)
(1251, 549) (1496, 859) (1496, 549) (1741, 859)
(1251, 549) (1496, 859) (1496, 549) (1741, 859)
(1249, 550) (1494, 860) (1494, 550) (1739, 860)
(1249, 550) (1494, 860) (1494, 550) (1739, 860)
(1251, 550) (1496, 860) (1496, 550) (1741, 860)
(1251, 550) (1496, 860) (1496, 550) (1741, 860)
(1249, 550) (1494, 860) (1494, 550) (1739, 860)
(1249, 550) (1494, 860) (1494, 550) (1739, 860)
(1251, 550) (1496, 860) (1496, 550) (1741, 860)
(1251, 549) (1496, 859) (1496, 549) (1741, 859)
(1251, 550) (1496, 860) (1496, 550) (1741, 860)
(1251, 550) (1496, 860) (1496, 550) (1741, 860)
