(125, 552) (370, 862) (370, 552) (615, 862)
(1237, 560) (1482, 870) (1482, 560) (1727, 870)
(1237, 559) (1482, 869) (1482, 559) (1727, 869)
(1239, 559) (1484, 869) (1484, 559) (1729, 869)
0
(1241, 559) (1486, 869) (1486, 559) (1731, 869)
(1241, 559) (1486, 869) (1486, 559) (1731, 869)
(1242, 559) (1487, 869) (1487, 559) (1732, 869)
(1241, 559) (1486, 869) (1486, 559) (1731, 869)
(1240, 558) (1485, 868) (1485, 558) (1730, 868)
(1241, 557) (1486, 867) (1486, 557) (1731, 867)
(1241, 557) (1486, 867) (1486, 557) (1731, 867)
(1241, 557) (1486, 867) (1486, 557) (1731, 867)
(1242, 557) (1487, 867) (1487, 557) (1732, 867)
(1242, 558) (1487, 868) (1487, 558) (1732, 868)
(1243, 558) (1488, 868) (1488, 558) (1733, 868)
(1243, 559) (1488, 869) (1488, 559) (1733, 869)
(1243, 561) (1488, 871) (1488, 561) (1733, 871)
(1243, 564) (1488, 874) (1488, 564) (1733, 874)
(1245, 563) (1490, 873) (1490, 563) (1735, 873)
(1243, 562) (1488, 872) (1488, 562) (1733, 872)
(1241, 563) (1486, 873) (1486, 563) (1731, 873)
(1243, 564) (1488, 874) (1488, 564) (1733, 874)
(1244, 564) (1489, 874) (1489, 564) (1734, 874)
(1243, 562) (1488, 872) (1488, 562) (1733, 872)
(1243, 561) (1488, 871) (1488, 561) (1733, 871)
(1245, 563) (1490, 873) (1490, 563) (1735, 873)
(1243, 563) (1488, 873) (1488, 563) (1733, 873)
(1243, 563) (1488, 873) (1488, 563) (1733, 873)
(1244, 562) (1489, 872) (1489, 562) (1734, 872)
(1243, 561) (1488, 871) (1488, 561) (1733, 871)
(1241, 555) (1486, 865) (1486, 555) (1731, 865)
(1243, 561) (1488, 871) (1488, 561) (1733, 871)
(1244, 561) (1489, 871) (1489, 561) (1734, 871)
(1243, 562) (1488, 872) (1488, 562) (1733, 872)
(1244, 563) (1489, 873) (1489, 563) (1734, 873)
(1244, 561) (1489, 871) (1489, 561) (1734, 871)
(1245, 563) (1490, 873) (1490, 563) (1735, 873)
(1243, 563) (1488, 873) (1488, 563) (1733, 873)
(1239, 561) (1484, 871) (1484, 561) (1729, 871)
(1245, 561) (1490, 871) (1490, 561) (1735, 871)
(1245, 563) (1490, 873) (1490, 563) (1735, 873)
(1245, 562) (1490, 872) (1490, 562) (1735, 872)
(1245, 562) (1490, 872) (1490, 562) (1735, 872)
(1245, 561) (1490, 871) (1490, 561) (1735, 871)
(1245, 562) (1490, 872) (1490, 562) (1735, 872)
(1245, 561) (1490, 871) (1490, 561) (1735, 871)
(1244, 561) (1489, 871) (1489, 561) (1734, 871)
(1245, 564) (1490, 874) (1490, 564) (1735, 874)
(1243, 563) (1488, 873) (1488, 563) (1733, 873)
(1246, 566) (1491, 876) (1491, 566) (1736, 876)
(1245, 564) (1490, 874) (1490, 564) (1735, 874)
(1245, 562) (1490, 872) (1490, 562) (1735, 872)
(1245, 562) (1490, 872) (1490, 562) (1735, 872)
(1245, 563) (1490, 873) (1490, 563) (1735, 873)
(1245, 563) (1490, 873) (1490, 563) (1735, 873)
(1244, 564) (1489, 874) (1489, 564) (1734, 874)
(1245, 567) (1490, 877) (1490, 567) (1735, 877)
(1245, 563) (1490, 873) (1490, 563) (1735, 873)
